RA;Fev;Mar;Abr;Mai;Jun;Total Faltas
55616855724;0;2;7;4;5;18
90016805947;6;4;4;5;3;22
81946383101;7;3;12;4;1;27
99668234269;6;5;3;5;4;23
78541742773;2;10;10;4;1;27
76005698603;2;9;12;5;4;32
67592796415;2;5;0;5;1;13
87358837817;8;4;2;5;3;22
69261074960;3;8;0;4;2;17
88717881455;7;9;1;4;1;22
56682750405;2;8;2;4;0;16
94661035036;1;4;11;3;4;23
80007068125;8;2;1;5;2;18
93337030792;3;6;8;4;4;25
98015855059;5;4;8;5;2;24
99554681418;6;9;1;4;3;23
58824953664;2;3;5;3;3;16
88420471730;1;3;6;5;4;19
89753204608;7;2;7;3;3;22
90202411846;6;8;0;3;2;19
81270830371;0;4;0;3;0;7
66377269361;4;9;0;4;3;20
58149644619;3;2;6;4;5;20
66591401813;1;7;3;4;4;19
65765753264;7;8;1;4;0;20
82526148869;3;4;0;5;1;13
90309914050;7;10;1;4;0;22
83975379628;6;8;4;4;4;26
66661633537;5;6;6;5;3;25
61583920765;1;8;2;5;3;19
62123716594;7;9;4;4;2;26
84576082462;4;5;0;5;5;19
76397496949;2;10;8;4;1;25
57500064385;2;7;5;3;0;17
70054158612;1;6;0;5;1;13
97864881365;1;4;6;3;0;14
84701642018;6;4;6;3;4;23
66520770222;1;8;3;3;1;16
93867800997;3;8;6;5;3;25
97553346924;4;7;2;3;1;17
81005826445;7;6;11;4;5;33
99058766380;3;3;4;3;0;13
75679584507;0;3;4;5;4;16
65910449155;8;5;4;5;2;24
57129783197;7;7;4;4;2;24
75212790666;4;3;5;3;5;20
92971053189;5;8;10;3;4;30
61231871495;6;10;2;4;2;24
57150917852;0;8;3;3;1;15
98697853336;1;4;7;3;1;16
58912360748;6;4;2;3;4;19
95789459920;1;9;12;5;4;31
67495034437;4;4;4;4;2;18
94181295850;7;6;8;4;4;29
71774966528;2;10;0;4;2;18
92514746471;5;2;11;4;0;22
64023556397;0;9;10;5;4;28
93220030662;2;6;4;3;5;20
64834744744;2;6;4;5;4;21
97266315766;5;3;7;4;4;23
61818444647;4;2;5;4;5;20
91593744313;4;10;2;3;3;22
86983369387;4;7;11;3;5;30
62425838632;0;3;7;5;3;18
90887685686;1;7;7;5;5;25
80818216300;4;6;3;5;5;23
70913174333;7;8;9;3;0;27
73171353709;3;3;11;5;0;22
99478075629;1;4;5;4;2;16
82950348580;1;9;1;5;5;21
75811422535;4;5;4;5;4;22
59992394107;2;4;10;3;2;21
61123299597;2;2;0;3;4;11
85829880750;0;2;4;3;3;12
71981991451;2;7;5;5;4;23
75371578775;4;7;10;5;2;28
66825609138;5;9;5;5;4;28
60302141496;8;10;4;5;2;29
74696150320;8;3;5;5;1;22
60533949567;2;9;1;3;3;18
63528419604;2;6;6;5;0;19
68716425599;6;7;0;3;4;20
93795650965;7;7;1;4;0;19
88726960254;0;8;5;4;3;20
89549710801;8;7;9;3;5;32
73056953742;3;4;1;4;5;17
82562254871;0;9;1;3;5;18
72175054968;7;3;8;3;2;23
73232572919;5;10;12;3;3;33
70459266656;0;3;12;4;5;24
72340937537;8;10;11;5;3;37
98177664836;3;8;12;5;5;33
68885567947;5;9;5;3;3;25
82536911321;6;5;0;4;2;17
77472036374;8;7;8;4;4;31
88725538553;5;5;1;4;1;16
90403549025;6;2;8;5;4;25
80925212572;8;7;6;5;4;30
89377636199;6;3;8;5;1;23
86525690894;2;2;9;3;4;20
97364081212;7;5;1;3;1;17
89804698120;3;4;1;5;5;18
86941202761;1;8;3;5;4;21
68954599741;0;3;9;3;2;17
75366354164;0;2;3;3;5;13
69608866653;2;8;9;4;0;23
64928767418;8;6;0;5;2;21
88501881981;1;10;3;4;4;22
70982644387;3;5;8;4;5;25
68610098906;5;9;8;3;4;29
80014803890;0;3;0;4;5;12
67380702151;0;5;6;5;3;19
79819361962;0;10;6;3;4;23
90396632443;6;10;12;3;4;35
79667586565;2;9;11;3;0;25
74962199967;4;8;2;5;4;23
96481026526;3;10;5;5;5;28
73333039512;3;7;11;3;3;27
96377476121;4;10;4;5;3;26
57039255807;8;6;8;5;3;30
63093566834;1;5;6;3;4;19
88482887885;2;8;2;3;2;17
97950320482;4;9;1;3;3;20
56843204394;5;5;9;3;2;24
99532054279;6;10;12;3;0;31
57029100687;5;5;10;4;0;24
82487546449;1;2;1;3;5;12
74652879976;7;3;10;4;0;24
84788367355;3;7;10;5;3;28
76288685079;6;7;10;3;5;31
69937104197;4;8;6;3;4;25
78051129659;2;5;3;4;3;17
76858653145;4;2;4;3;2;15
63119744731;7;5;4;3;5;24
72100652952;1;4;0;4;4;13
76533280860;4;6;0;5;1;16
57880527806;2;10;9;3;3;27
65092064021;5;2;12;5;4;28
63893561511;2;3;12;3;5;25
84291839162;0;2;3;4;5;14
80113300098;0;5;10;5;1;21
59463043646;1;10;7;4;2;24
75332205879;0;10;7;4;2;23
80967326985;4;3;10;4;0;21
64145893892;4;3;6;4;3;20
58534624387;0;7;3;4;3;17
80355209504;1;5;1;3;5;15
64876344668;2;6;11;3;0;22
77611509140;7;5;6;3;2;23
61821096538;3;2;12;5;2;24
92179223683;3;4;12;4;1;24
