RA;Fev;Mar;Abr;Mai;Jun;Total Faltas
99668234269;4;8;4;3;5;24
78541742773;4;2;8;4;7;25
76005698603;4;8;2;5;8;27
67592796415;1;4;5;4;10;24
87358837817;0;8;3;5;9;25
69261074960;1;6;4;5;5;21
88717881455;0;2;4;3;10;19
56682750405;2;3;8;4;8;25
94661035036;5;9;8;3;8;33
80007068125;0;8;6;5;5;24
93337030792;2;2;2;5;6;17
98015855059;5;8;5;5;5;28
99554681418;2;4;5;4;6;21
58824953664;5;7;3;5;6;26
88420471730;0;3;8;4;6;21
89753204608;0;8;5;5;10;28
90202411846;4;9;5;4;6;28
81270830371;2;10;4;3;6;25
66377269361;4;7;5;3;8;27
58149644619;2;4;2;4;9;21
66591401813;4;7;6;4;8;29
65765753264;1;5;4;4;6;20
82526148869;5;9;8;4;10;36
90309914050;1;9;5;5;6;26
83975379628;3;5;8;5;8;29
66661633537;1;4;6;3;10;24
61583920765;2;8;2;4;7;23
62123716594;4;8;8;4;7;31
84576082462;4;5;4;4;8;25
76397496949;2;5;8;4;8;27
57500064385;0;6;3;3;5;17
70054158612;3;9;6;3;6;27
97864881365;1;2;4;3;10;20
84701642018;5;4;3;3;6;21
66520770222;4;2;4;5;10;25
93867800997;0;2;5;4;9;20
97553346924;4;7;4;3;8;26
81005826445;2;5;6;4;7;24
99058766380;5;3;2;5;9;24
75679584507;3;7;8;3;6;27
65910449155;1;4;4;3;6;18
57129783197;4;9;7;4;10;34
75212790666;3;8;3;4;9;27
92971053189;5;6;6;3;9;29
61231871495;1;5;6;5;10;27
57150917852;3;7;6;3;7;26
98697853336;0;3;2;4;6;15
58912360748;3;4;7;5;7;26
95789459920;2;4;2;4;8;20
67495034437;4;10;5;4;5;28
94181295850;1;5;6;4;10;26
71774966528;5;3;7;5;10;30
92514746471;2;8;7;4;5;26
64023556397;3;2;8;5;5;23
93220030662;4;2;2;3;9;20
64834744744;10;5;4;4;6;29
97266315766;2;4;4;3;6;19
61818444647;3;9;8;5;5;30
91593744313;2;4;8;3;9;26
86983369387;1;2;4;3;6;16
62425838632;2;3;2;3;8;18
90887685686;4;2;5;3;7;21
80818216300;5;4;6;5;8;28
70913174333;3;3;3;5;6;20
73171353709;2;4;3;3;5;17
99478075629;1;4;3;3;6;17
82950348580;0;9;7;3;7;26
75811422535;3;8;6;3;10;30
59992394107;2;5;7;3;7;24
61123299597;0;7;6;3;7;23
85829880750;4;2;3;5;7;21
71981991451;5;10;6;5;10;36
75371578775;0;4;5;5;9;23
66825609138;5;9;3;3;8;28
60302141496;3;5;8;3;8;27
74696150320;1;6;5;3;7;22
60533949567;0;6;6;4;8;24
63528419604;0;4;7;3;6;20
68716425599;5;2;4;5;6;22
93795650965;2;7;8;5;9;31
88726960254;5;8;8;5;5;31
89549710801;2;8;5;4;10;29
73056953742;0;2;8;4;7;21
82562254871;4;5;4;3;6;22
72175054968;1;6;5;5;10;27
73232572919;1;6;5;4;6;22
70459266656;0;8;6;5;7;26
72340937537;0;9;3;5;8;25
98177664836;4;4;8;4;10;30
68885567947;2;3;5;4;8;22
82536911321;3;10;8;3;9;33
77472036374;1;2;5;3;10;21
88725538553;0;9;2;4;6;21
90403549025;1;3;7;3;7;21
80925212572;3;3;5;3;5;19
89377636199;2;8;2;4;5;21
86525690894;2;8;4;3;10;27
97364081212;5;4;3;3;8;23
89804698120;3;5;8;3;5;24
86941202761;3;3;5;4;9;24
68954599741;0;2;5;4;6;17
75366354164;5;5;3;3;8;24
69608866653;5;8;6;3;6;28
64928767418;2;4;5;3;8;22
88501881981;2;5;4;5;7;23
70982644387;3;7;7;3;5;25
68610098906;2;6;4;3;10;25
80014803890;5;2;6;5;8;26
67380702151;4;6;6;5;7;28
79819361962;4;9;7;3;8;31
90396632443;0;5;4;3;10;22
79667586565;5;9;2;5;7;28
74962199967;3;4;4;5;5;21
96481026526;4;10;5;4;10;33
73333039512;3;6;8;3;8;28
96377476121;0;8;5;4;5;22
57039255807;1;4;2;4;5;16
63093566834;1;2;3;5;5;16
88482887885;3;4;8;4;6;25
97950320482;2;10;7;3;9;31
56843204394;1;5;8;3;7;24
99532054279;3;6;8;5;10;32
57029100687;4;6;6;4;5;25
82487546449;0;4;2;4;7;17
74652879976;1;10;3;5;8;27
84788367355;1;8;3;4;8;24
76288685079;2;3;3;4;6;18
69937104197;5;6;4;3;8;26
78051129659;1;3;8;4;7;23
76858653145;1;5;7;3;10;26
63119744731;4;9;5;5;8;31
72100652952;1;5;3;5;6;20
76533280860;4;7;4;3;9;27
57880527806;1;6;5;3;5;20
65092064021;5;3;5;3;7;23
63893561511;0;9;2;4;10;25
84291839162;4;5;6;3;7;25
80113300098;4;4;3;5;7;23
59463043646;2;10;5;4;6;27
75332205879;3;3;6;4;7;23
80967326985;0;4;5;4;10;23
64145893892;4;6;5;4;5;24
58534624387;2;10;2;4;9;27
80355209504;1;2;4;5;5;17
64876344668;2;3;8;4;5;22
77611509140;5;6;3;3;5;22
61821096538;2;10;3;5;9;29
92179223683;1;4;8;3;8;24
