RA;Fev;Mar;Abr;Mai;Jun;Total Faltas
75846263960;5;2;4;0;5;16
73794741310;0;0;1;5;0;6
69608990923;3;4;1;5;0;13
77449838968;5;1;3;3;1;13
60372750744;2;5;1;1;0;9
99073972248;1;5;1;0;0;7
64281482473;3;4;2;2;4;15
72283032018;0;2;3;4;0;9
98610176591;4;1;4;5;4;18
82514349615;3;3;2;4;3;15
61001960241;0;5;0;3;4;12
58054694485;4;3;5;4;1;17
94936869901;5;0;3;1;1;10
72054138041;0;1;5;4;5;15
75310776795;1;1;4;5;4;15
97240471150;2;2;5;0;2;11
74294082143;4;3;2;4;5;18
68618995444;2;2;0;3;2;9
95468149924;2;4;1;1;1;9
67880375501;2;4;1;0;4;11
67771470327;1;2;0;5;4;12
59814649756;2;1;1;3;0;7
70143824644;0;4;1;1;3;9
96078264778;3;3;5;1;0;12
93436555629;0;3;1;3;5;12
80253593355;1;2;0;2;0;5
75646529999;5;4;4;4;3;20
85152587295;1;0;2;1;4;8
57719656378;0;2;5;1;3;11
58437716952;5;2;5;0;4;16
61835193405;4;5;2;1;5;17
64727719347;2;0;4;1;2;9
95730698265;3;0;1;0;5;9
74226841493;3;5;1;2;0;11
78891245316;1;0;2;3;2;8
86685864800;5;3;0;2;0;10
72184788680;5;3;2;4;4;18
62678402433;2;4;3;2;5;16
95028498771;1;3;5;1;3;13
77590052981;4;5;3;2;4;18
84097442344;0;5;5;2;2;14
87534302801;3;1;0;5;5;14
60915633675;4;1;3;0;4;12
77551235570;0;1;0;3;0;4
91291552109;2;0;2;1;4;9
91607324230;1;0;3;0;2;6
85579223715;5;3;0;0;2;10
89003896358;2;1;2;0;1;6
55896866724;1;2;4;1;0;8
87396313125;1;2;1;3;3;10
57585823373;4;4;3;4;1;16
66289571273;2;2;2;1;5;12
98990966649;0;2;3;3;0;8
65021803315;1;1;0;2;3;7
87802422775;1;5;1;4;3;14
81151693087;3;5;5;0;5;18
90937476478;2;0;1;0;3;6
92546748274;4;2;4;3;1;14
81850742708;1;3;4;5;5;18
95980765400;3;1;1;0;0;5
78549251895;5;1;1;0;5;12
77945547478;2;2;3;1;4;12
83011733706;4;4;5;0;1;14
83006306304;4;4;0;2;4;14
55680472790;3;4;3;4;0;14
75011208424;2;3;0;1;4;10
62953896046;2;3;1;3;0;9
80628296520;3;1;2;0;1;7
83926907902;5;3;0;0;5;13
76709212705;0;5;5;1;1;12
64092642989;1;0;3;1;0;5
56957808904;3;2;2;0;0;7
88649434046;4;0;2;1;2;9
79531250584;5;5;2;1;4;17
57525680626;1;5;5;5;0;16
91889704239;5;2;2;4;0;13
56935443946;5;4;1;2;4;16
66167313279;1;1;4;5;1;12
81361526204;3;0;5;3;4;15
87708947203;4;4;2;3;3;16
63907571633;5;2;2;5;3;17
81885346751;5;0;0;4;5;14
93306105792;0;0;5;4;4;13
97284346100;0;3;2;5;1;11
57249264851;3;0;2;4;1;10
79983949999;0;3;5;0;3;11
99277040765;4;0;4;4;3;15
94356056686;5;5;1;4;5;20
64497873431;3;5;0;2;3;13
78416394568;1;5;0;2;2;10
71966580485;4;4;3;4;1;16
92814941309;5;3;2;0;1;11
55616855724;3;2;4;1;1;11
90016805947;1;2;5;3;1;12
81946383101;5;5;0;3;2;15
99668234269;4;0;0;2;5;11
78541742773;3;5;0;0;0;8
76005698603;3;5;5;1;3;17
67592796415;5;5;0;0;5;15
87358837817;4;0;0;1;2;7
69261074960;1;5;5;2;4;17
88717881455;4;5;5;4;4;22
56682750405;1;2;1;2;0;6
94661035036;5;5;5;4;2;21
80007068125;4;3;5;1;1;14
93337030792;1;3;4;0;1;9
98015855059;0;4;4;4;4;16
99554681418;2;4;1;1;3;11
58824953664;1;3;2;1;2;9
88420471730;3;5;5;1;3;17
89753204608;3;5;0;3;0;11
90202411846;4;0;1;1;4;10
81270830371;2;0;1;4;5;12
66377269361;5;4;0;2;4;15
58149644619;3;4;5;1;4;17
66591401813;1;3;1;0;5;10
65765753264;5;0;5;3;2;15
82526148869;2;5;5;2;5;19
90309914050;1;0;2;5;2;10
83975379628;3;5;4;5;3;20
66661633537;5;5;0;0;2;12
61583920765;0;1;2;1;1;5
62123716594;5;4;4;4;4;21
84576082462;5;0;3;1;1;10
76397496949;4;0;2;0;2;8
57500064385;4;0;3;2;3;12
70054158612;1;1;5;1;4;12
97864881365;4;1;5;1;0;11
84701642018;3;5;3;5;4;20
66520770222;4;4;1;3;1;13
93867800997;1;1;3;5;3;13
97553346924;5;1;0;3;0;9
81005826445;3;4;1;2;2;12
99058766380;1;0;4;1;1;7
75679584507;3;4;3;1;4;15
65910449155;3;4;5;5;4;21
57129783197;1;5;0;0;4;10
75212790666;1;2;4;0;0;7
92971053189;4;1;4;2;1;12
61231871495;4;3;1;3;3;14
57150917852;0;5;4;2;3;14
98697853336;5;4;2;5;4;20
58912360748;4;2;1;1;1;9
95789459920;3;0;5;3;5;16
67495034437;0;2;2;4;5;13
94181295850;5;3;1;2;4;15
71774966528;2;3;0;3;5;13
92514746471;0;1;3;5;2;11
64023556397;4;0;0;3;1;8
93220030662;2;1;2;3;2;10
64834744744;1;4;1;4;1;11
97266315766;4;5;3;1;2;15
61818444647;0;3;1;4;3;11
91593744313;2;0;1;4;0;7
86983369387;1;3;2;0;2;8
62425838632;3;1;2;4;3;13
90887685686;0;1;2;2;2;7
80818216300;0;3;3;2;4;12
70913174333;5;5;1;2;0;13
73171353709;3;4;5;0;3;15
99478075629;1;1;2;5;4;13
82950348580;2;2;5;3;0;12
75811422535;4;2;4;4;4;18
59992394107;0;4;3;2;1;10
61123299597;4;4;3;2;0;13
85829880750;5;2;3;4;4;18
71981991451;0;4;3;5;5;17
75371578775;4;1;1;1;2;9
66825609138;0;4;4;4;4;16
60302141496;2;1;0;2;0;5
74696150320;4;0;3;5;4;16
60533949567;4;0;1;5;0;10
63528419604;0;2;4;5;3;14
68716425599;4;2;3;0;0;9
93795650965;5;4;3;2;3;17
88726960254;2;1;0;3;5;11
89549710801;5;1;4;1;1;12
73056953742;5;2;1;1;1;10
82562254871;1;1;0;2;2;6
72175054968;1;0;0;2;5;8
73232572919;0;1;2;0;2;5
70459266656;1;2;5;0;2;10
72340937537;0;2;2;3;3;10
98177664836;2;1;2;1;1;7
68885567947;1;3;4;0;4;12
82536911321;2;1;5;0;3;11
77472036374;0;3;4;2;5;14
88725538553;0;4;4;2;0;10
90403549025;1;0;1;5;1;8
80925212572;3;5;4;0;4;16
89377636199;4;4;1;4;5;18
86525690894;0;3;1;4;0;8
97364081212;1;2;3;0;5;11
89804698120;1;5;3;2;2;13
86941202761;1;4;1;1;1;8
68954599741;2;1;1;3;2;9
75366354164;0;1;3;2;3;9
69608866653;0;2;4;1;1;8
64928767418;5;1;2;0;0;8
88501881981;4;1;2;3;5;15
70982644387;4;0;2;1;2;9
68610098906;1;3;2;5;4;15
80014803890;1;2;1;3;4;11
67380702151;0;5;1;1;2;9
79819361962;5;1;3;2;0;11
90396632443;3;4;3;0;3;13
79667586565;5;1;2;0;0;8
74962199967;0;4;2;1;2;9
96481026526;5;1;1;5;3;15
73333039512;3;4;2;3;5;17
96377476121;1;5;2;4;3;15
57039255807;5;1;1;4;1;12
63093566834;1;0;5;0;5;11
88482887885;5;3;4;2;3;17
97950320482;2;5;4;3;4;18
56843204394;1;2;5;0;0;8
99532054279;4;1;2;3;1;11
57029100687;0;1;2;2;5;10
82487546449;2;1;2;5;2;12
74652879976;1;3;0;5;5;14
84788367355;2;5;1;0;0;8
76288685079;3;4;0;2;2;11
69937104197;4;1;5;5;4;19
78051129659;0;1;1;3;2;7
76858653145;0;1;1;1;2;5
63119744731;3;3;4;2;4;16
72100652952;0;1;5;3;2;11
76533280860;4;5;3;4;1;17
57880527806;1;2;2;1;1;7
65092064021;3;5;4;1;0;13
63893561511;0;4;5;3;2;14
84291839162;3;1;1;2;2;9
80113300098;4;4;3;0;2;13
59463043646;5;0;0;0;2;7
75332205879;2;3;1;1;1;8
80967326985;2;3;4;2;2;13
64145893892;5;0;1;1;4;11
58534624387;0;0;4;0;2;6
80355209504;5;0;3;3;2;13
64876344668;1;3;1;4;0;9
77611509140;3;2;0;4;2;11
61821096538;3;0;0;0;1;4
92179223683;4;1;1;2;2;10
